дата,ряд,показатель,значение,единица,источник_файл,флаг
2022-01-01,Годовые отчёты ANRE,"Диапазон цен закупки э/э на рынке Румынии, верхняя граница",250.0,USD/МВт·ч,Raport privind Activitatea ANRE in anul 2022.pdf,стр. PDF 17
2018-01-01,Годовые отчёты ANRE,"Средняя цена импорта э/э (blended, вкл. МГРЭС)",5.16,цент/кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,"стр. PDF 109: «majorarea prețului mediu de import al energiei electrice de la 5,16 ¢/kWh la 5,38 ¢/kWh»"
2019-01-01,Годовые отчёты ANRE,"Средняя цена импорта э/э (blended, вкл. МГРЭС)",5.38,цент/кВт·ч,RAPORT DE ACTIVITATE 2019 FINAL 30.11.2020.docx.pdf,стр. PDF 109
2009-01-01,Годовые отчёты ANRE,Цена закупки газа Moldovagaz у Газпрома (до 01.01.2010),196.6,USD/1000 м³,Raport final 2010_31.03.11.doc,"«majorarea, cu începere din 1 ianuarie 2010, a preţului de procurare a gazelor naturale de către S.A. „Moldovagaz” de la concernul rus S.A.D. „Gazprom” cu 17,9%, de la 196,6 USD până la 231,7 USD»"
2010-01-01,Годовые отчёты ANRE,Цена закупки газа Moldovagaz у Газпрома (с 01.01.2010),231.7,USD/1000 м³,Raport final 2010_31.03.11.doc,тот же абзац
2010-01-01,Годовые отчёты ANRE,Средний тариф на газ для конечных потребителей,3542.0,лей/1000 м³,Raport final 2010_31.03.11.doc,"«creştere cu 13,9 % a tarifului mediu la gazele naturale... 3542 lei/1000 m3»"
2010-01-01,Годовые отчёты ANRE,"Курс, применённый ANRE в тарифном решении",12.3,лей/USD,Raport final 2010_31.03.11.doc,"«devalorizarea valutei naţionale... la 12,3 lei/$»"
2009-01-01,Годовые отчёты ANRE,"Курс, применённый ANRE в предыдущем тарифе",10.7,лей/USD,Raport final 2010_31.03.11.doc,"«de la 10,7 lei/$ (rată prevăzută în tariful precedent)»"
2011-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,81.6,бань/кВт·ч,Raport anual de activitate a ANRE pentru anul 2013_2.pdf,"Табл. 8, стр. PDF ~24; текстового слоя нет, извлечено OCR (tesseract -l ron). Методика: только операторы распредсетей, без правомочных потребителей"
2012-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,94.83,бань/кВт·ч,Raport anual de activitate a ANRE pentru anul 2013_2.pdf,"Табл. 8, OCR"
2013-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,98.59,бань/кВт·ч,RAPORT 2014_de_activitate.pdf,"Табл. 1, стр. PDF 5"
2014-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,105.72,бань/кВт·ч,RAPORT 2014_de_activitate.pdf,"Табл. 1, стр. PDF 5"
2015-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,132.91,бань/кВт·ч,Raport anual de activitate 2015.pdf,"Табл. 1, стр. PDF 9"
2016-01-01,Годовые отчёты ANRE,Средняя цена закупки э/э лицензиатами,113.31,бань/кВт·ч,Raport anual de activitate_2016.pdf,"Табл. 1, стр. PDF 6"
2016-01-01,Годовые отчёты ANRE,Платежи Молдовы за э/э МГРЭС (вторичный источник),178.0,млн $,"bne IntelliNews, «Moldova terminates power contract with Transnistria»","ВТОРИЧНЫЙ ИСТОЧНИК, первичного подтверждения нет: «In total, Moldova paid Transnistria $178mn for the electricity imported in 2016»"
2017-01-01,Годовые отчёты ANRE,"Цена победителя тендера 2017 (DTEK Trading, Украина)",50.2,USD/МВт·ч,"Ministerul Economiei RM, 01.04.2017","контракт Energocom-DTEK на 01.04.2017-31.03.2018; оферты МГРЭС 58,5 и 54,4 отклонены"
