дата,ряд,показатель,значение,единица,источник_файл,флаг
2004-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,55093165.0,USD,TradeData_8_9_2026_2_14_36.csv,
2004-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,470948504.0,кг,TradeData_8_9_2026_2_14_36.csv,
2004-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,470948504.0,кг,TradeData_8_9_2026_2_14_36.csv,
2005-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,107942006.0,USD,TradeData_8_9_2026_2_14_36.csv,
2005-01-01,Comtrade импорт газа 271121 (годовой),World | количество,971680848.0,кг,TradeData_8_9_2026_2_14_36.csv,
2005-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,971680848.0,кг,TradeData_8_9_2026_2_14_36.csv,
2005-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,47816608.0,USD,TradeData_8_9_2026_2_14_36.csv,
2005-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,409504785.0,кг,TradeData_8_9_2026_2_14_36.csv,
2005-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,409504785.0,кг,TradeData_8_9_2026_2_14_36.csv,
2006-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,189114177.0,USD,TradeData_8_9_2026_2_14_36.csv,
2006-01-01,Comtrade импорт газа 271121 (годовой),World | количество,972748196.0,кг,TradeData_8_9_2026_2_14_36.csv,
2006-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,972748196.0,кг,TradeData_8_9_2026_2_14_36.csv,
2006-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,189114177.0,USD,TradeData_8_9_2026_2_14_36.csv,
2006-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,972748196.0,кг,TradeData_8_9_2026_2_14_36.csv,
2006-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,972748196.0,кг,TradeData_8_9_2026_2_14_36.csv,
2007-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,225698238.0,USD,TradeData_8_9_2026_2_15_36.csv,
2007-01-01,Comtrade импорт газа 271121 (годовой),World | количество,893855431.0,кг,TradeData_8_9_2026_2_15_36.csv,
2007-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,893855431.0,кг,TradeData_8_9_2026_2_15_36.csv,
2007-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,225698238.0,USD,TradeData_8_9_2026_2_15_36.csv,
2007-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,893855431.0,кг,TradeData_8_9_2026_2_15_36.csv,
2007-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,893855431.0,кг,TradeData_8_9_2026_2_15_36.csv,
2008-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,285006849.0,USD,TradeData_8_9_2026_2_15_36.csv,
2008-01-01,Comtrade импорт газа 271121 (годовой),World | количество,849854448.0,кг,TradeData_8_9_2026_2_15_36.csv,
2008-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,849854448.0,кг,TradeData_8_9_2026_2_15_36.csv,
2008-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,285006849.0,USD,TradeData_8_9_2026_2_15_36.csv,
2008-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,849854448.0,кг,TradeData_8_9_2026_2_15_36.csv,
2008-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,849854448.0,кг,TradeData_8_9_2026_2_15_36.csv,
2009-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,297171064.0,USD,TradeData_8_9_2026_2_15_36.csv,
2009-01-01,Comtrade импорт газа 271121 (годовой),World | количество,778145833.0,кг,TradeData_8_9_2026_2_15_36.csv,
2009-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,778145833.0,кг,TradeData_8_9_2026_2_15_36.csv,
2009-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,132113743.0,USD,TradeData_8_9_2026_2_15_36.csv,
2009-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,442281355.0,кг,TradeData_8_9_2026_2_15_36.csv,
2009-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,442281355.0,кг,TradeData_8_9_2026_2_15_36.csv,
2010-01-01,Comtrade импорт газа 271121 (годовой),World | стоимость CIF,297106843.0,USD,TradeData_8_9_2026_2_15_36.csv,
2010-01-01,Comtrade импорт газа 271121 (годовой),World | количество,820734644.0,кг,TradeData_8_9_2026_2_15_36.csv,
2010-01-01,Comtrade импорт газа 271121 (годовой),World | нетто-вес,820734644.0,кг,TradeData_8_9_2026_2_15_36.csv,
2010-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | стоимость CIF,297106843.0,USD,TradeData_8_9_2026_2_15_36.csv,
2010-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | количество,820734644.0,кг,TradeData_8_9_2026_2_15_36.csv,
2010-01-01,Comtrade импорт газа 271121 (годовой),Russian Federation | нетто-вес,820734644.0,кг,TradeData_8_9_2026_2_15_36.csv,
2022-01-01,Comtrade импорт газа 271121 (месячный),World | стоимость CIF,129554903.0,USD,TradeData_8_9_2026_2_17_18.csv,
2022-01-01,Comtrade импорт газа 271121 (месячный),World | количество,135809000.0,кг,TradeData_8_9_2026_2_17_18.csv,
2022-01-01,Comtrade импорт газа 271121 (месячный),World | нетто-вес,135809000.0,кг,TradeData_8_9_2026_2_17_18.csv,
